,Item,MRP,Offer
0,Ferrero Rocher Gift Pack 200G (16 Pc),MRP ₹549,MRP ₹549
1,Ferrero Rocher Gift Pack 300G (16 Pc),MRP ₹929,MRP ₹929
2,Ferrero Rocher 4 Pralines Perfect Little Treat 50G,MRP ₹159,MRP ₹159
3,Lindt Napolitains Assorted Chocolate 350G Box,MRP ₹1600,MRP ₹1600
4,Lindt Lindor Assorted 200G,MRP ₹800,MRP ₹800
5,Lindt Lindor Balls Milk Chocolate 200G,MRP ₹800,MRP ₹800
6,Haagen Dazs Ice Cream Belgian Chocolate 473Ml,MRP ₹820,MRP ₹820
7,Lindt Excellence 70% Cocoa Dark 100G,MRP ₹400,MRP ₹400
8,Lindt 90% Cocoa Dark Supreme Noir Chocolate Bar 100G,MRP ₹450,MRP ₹450
9,Kwality Walls Magnum Almond Ice Cream 80Ml,MRP ₹99,MRP ₹99
10,The Whole Truth Fruit & Nut Milk Chocolate 50G Box,MRP ₹99,MRP ₹99
11,Minus 30 Ice Cream - Espresso Vegan N Sugar Free Tub 500 Ml,MRP ₹1000,MRP ₹1000
12,Lindt Excellence Sea Salt Dark Chocolate 100G,MRP ₹400,MRP ₹400
13,Lindt Lindor Dark Chocolates 200G,MRP ₹1050,MRP ₹1050
14,Kwality Walls Magnum Truffle Ice Cream 80Ml,MRP ₹99,MRP ₹99
15,Lindt Excellence Orange Intense Dark Chocolate 100G,MRP ₹400,MRP ₹400
16,The Whole Truth No Added Sugar 71% Cocao Dark Chocolate Bar 80G Pack,MRP ₹199,MRP ₹199
17,Minus 30 Ice Cream - Dark Choc Vegan N Sugar Free Tub 500 Ml,MRP ₹1000,MRP ₹1000
18,The Bakers Dozen Banana Walnut Cake 300G,MRP ₹309,MRP ₹309
19,The Bakers Dozen Banana Walnut Cake 300G,MRP ₹309,MRP ₹309
20,The Whole Truth No Added Sugar 70% Cocoa Sea Salt Dark Chocolate Bar 80G Pack,MRP ₹229,MRP ₹229
21,Tbh Beetroot & Himlayan Rock Salt 70G,MRP ₹149,MRP ₹149
22,London Dairy Ice Cream Premium Vanilla Family Pack 1L Tub,MRP ₹990,MRP ₹990
23,The Bakers Dozen Banana Walnut Cake 135G Box,MRP ₹185,MRP ₹185
24,Kwality Walls Magnum Brownie Ice Cream 80Ml Pouch,MRP ₹99,MRP ₹99
25,Lindt Les Grandes 34% Hazelnut Milk Chocolate 150G,MRP ₹600,MRP ₹600
26,Haribo Chamallows Pink & White 140G Pouch,MRP ₹225,MRP ₹225
27,London Dairy Premium Vanilla 500Ml,MRP ₹550,MRP ₹550
28,Minus 30 Ice Cream - Coconut Vegan N Sugar Free Tub 500 Ml,MRP ₹1000,MRP ₹1000
29,Haagen Dazs Belgian Chocolate Ice Cream 100Ml Tub,MRP ₹250,MRP ₹250
