,Item,MRP,Offer
0,Avocado Pack 3Pc (Approx 550-700G),₹499, ₹479
1,Blueberries Imported Combo Pack (125 Gm*2 Punnets),₹599, ₹499
2,Blueberries Imported 500 Gm,₹1279, ₹1199
3,Apple Royal Gala,MRP ₹249.5,MRP ₹249.5
4,Raspberry Indian 125 Gm Punnet,₹449, ₹399
5,Pomegranate Red,MRP ₹249.5,MRP ₹249.5
6,Orange Mandarins Combo (Approx 900 - 1000G),MRP ₹539,MRP ₹539
7,Pears Beauty Imported,MRP ₹249.5,MRP ₹249.5
8,Broccoli Pc (Approx 250 - 350G),₹99, ₹79
9,Imported Avocado Pc,MRP ₹429,MRP ₹429
10,Elaichi Banana,MRP ₹54.75,MRP ₹54.75
11,Apple Fuji,MRP ₹274.5,MRP ₹274.5
12,APPLE PINK LADY 4 PC PACK,₹279, ₹249
13,Tangerine,MRP ₹114.5,MRP ₹114.5
14,Mushroom Button 200G,MRP ₹55,MRP ₹55
15,Apple Red Delicious Washington,MRP ₹299.5,MRP ₹299.5
16,Imported Blueberry,MRP ₹349,MRP ₹349
17,Tomato,MRP ₹29.5,MRP ₹29.5
18,Kiwi Green 3Pc [1 Pack],₹219, ₹199
19,Imported Red Globe Grapes,₹69.8, ₹59.8
20,Italian Lemon,₹82.35, ₹74.85
21,Natures Spinach 200 Gm,MRP ₹59,MRP ₹59
22,Capsicum Red,MRP ₹349,MRP ₹349
23,Apple Pink Lady,MRP ₹419,MRP ₹419
24,Apple Pink Lady,MRP ₹419,MRP ₹419
25,AVOCADO HASS IMPORTED PACK (2PC-450-500G),MRP ₹799,MRP ₹799
26,Natures Cherry Tomato Red 200 Gm,MRP ₹65,MRP ₹65
27,Natures Baby Spinach 200 Gm,MRP ₹55,MRP ₹55
28,Dragon Fruit Red Flesh 1Pc (Approx 250-300G),₹119, ₹109
29,Onion,MRP ₹34.5,MRP ₹34.5
