,Item,MRP,Offer
0,Sprinng Plain Bread Gluten Free 200G Pack,MRP ₹230,MRP ₹230
1,Raw Pressery Plain Unsweetened Almond Milk 1L Tetra Pack,₹325, ₹292.5
2,Raw Pressery Plain Unsweetened Almond Milk 1L Tetra Pack,₹325, ₹292.5
3,Healthy Alternatives Organic Walnut Kernel 500G Pouch,MRP ₹1399,MRP ₹1399
4,Amul Lactose Free Drink 250Ml Tetra Pack,MRP ₹25,MRP ₹25
5,Organic Tomato 500G,MRP ₹55,MRP ₹55
6,Epigamia Almond Drink Unsweetened 1L Tetra Pack,₹325, ₹260
7,Organic Ginger 250G,MRP ₹189,MRP ₹189
8,So Good Un Sweetened Almond Milk 1L Tetra Pack,₹300, ₹270
9,Akshayakalpa Organic Malai Paneer 200G,₹150, ₹140
10,Akshayakalpa Organic Malai Paneer 200G,₹150, ₹140
11,Minus 30 Ice Cream - Espresso Vegan N Sugar Free Tub 500 Ml,MRP ₹1000,MRP ₹1000
12,Raw Pressery Cacao Almond Milk 1L Tetra Pack,MRP ₹325,MRP ₹325
13,Raw Pressery Cacao Almond Milk 1L Tetra Pack,MRP ₹325,MRP ₹325
14,Wellbeing Nutrition Melts Restful Sleep Box (Pack Of 30 Oral Strips),MRP ₹649,MRP ₹649
15,Minus 30 Ice Cream - Dark Choc Vegan N Sugar Free Tub 500 Ml,MRP ₹1000,MRP ₹1000
16,So Good Unsweetened Almond Milk 200Ml Tetra Pack,MRP ₹75,MRP ₹75
17,Organic Onion 500G,MRP ₹79,MRP ₹79
18,Heinz Organic Tomato Ketchup Top Down 580Ml Bottle,MRP ₹1195,MRP ₹1195
19,Dr. Schar Gluten Free Crackers 210G,MRP ₹585,MRP ₹585
20,Organic French Beans 250G,MRP ₹69,MRP ₹69
21,Organic Carrot 250G,MRP ₹59,MRP ₹59
22,Organic Potato 500G,MRP ₹65,MRP ₹65
23,Minus 30 Ice Cream - Coconut Vegan N Sugar Free Tub 500 Ml,MRP ₹1000,MRP ₹1000
24,Organic Okra/Lady Finger 250G,MRP ₹65,MRP ₹65
25,Mooz Vegetable Tofu Organic Soya Paneer 200G Pack,MRP ₹110,MRP ₹110
26,Chicnutrix Glow Tube Bottle,MRP ₹1980,MRP ₹1980
27,Conscious Food Organic Amaranth / Rajgira Flour 500G Bag,MRP ₹185,MRP ₹185
28,Organic Coriander 250G,MRP ₹119,MRP ₹119
29,Organic Garlic 250G,MRP ₹149,MRP ₹149
