,Item,MRP,Offer
0,Colavita Extra Virgin Olive Oil 1L Bottle,MRP ₹2495,MRP ₹2495
1,Borges Olive Oil Glass Bottle 1 L,₹1350, ₹1170
2,Barilla Spaghetti Pasta 500G Box,MRP ₹329,MRP ₹329
3,Shitake Mushroom,MRP ₹3299,MRP ₹3299
4,Borges Extra Virgin Olive Oil 2L Pet,MRP ₹2700,MRP ₹2700
5,Colavita Extra Virg Olive Oil Pet 500Ml,MRP ₹1495,MRP ₹1495
6,Salsalito Original Tortilla Wrap 348G,MRP ₹190,MRP ₹190
7,Borges Extra Virgin Olive Oil Pet 500Ml,MRP ₹1050,MRP ₹1050
8,Borges Extra Virgin Olive Oil Jar 250Ml,₹400, ₹364
9,Brown Shimeji Mushroom,MRP ₹494.85,MRP ₹494.85
10,Wingreens Original Olive Hummus 150G,₹200, ₹134
11,Barilla Basilico Pasta Sauce 400G,MRP ₹499,MRP ₹499
12,Mushroom Shi-Meji White Kg 125G,MRP ₹412.38,MRP ₹412.38
13,Enoki Mushroom,MRP ₹3399,MRP ₹3399
14,Black And Green Avocado Oil 500Ml Bottle,MRP ₹1599,MRP ₹1599
15,Wingreens Farms Basil Pesto 150G,MRP ₹250,MRP ₹250
16,Barilla Arrabiata Pasta Sauce 400G,MRP ₹499,MRP ₹499
17,Bertolli Extra Light Olive Oil Jar 2Ltr,MRP ₹4299,MRP ₹4299
18,Barilla Penne Rigate Pasta 500G Box,MRP ₹329,MRP ₹329
19,Carbamide Forte Coconut Oil 500Ml Jar,MRP ₹679,MRP ₹679
20,Dabur Hommade Coconut Milk 200Ml Pouch,MRP ₹75,MRP ₹75
21,Rafael Salgado Extra Light Olive Oil 2L Bottle,₹3339, ₹2470.86
22,Borges Pure Olive Oil 1L Bottle,₹1350, ₹1170
23,Sorrentina Italian Garlic Hummus 200 G,₹299, ₹259
24,Wingreens Farms Dill Tzatziki 150G,MRP ₹200,MRP ₹200
25,Wingreens Farms Garlic Dip 150G,₹200, ₹134
26,Nongshim Shn Rmyn Noodle Soup 5In1 600G,MRP ₹599,MRP ₹599
27,Barilla Napoletana Pasta Pizza Sauce 400G Pouch,MRP ₹499,MRP ₹499
28,Imported Portobello Mushroom,MRP ₹4999,MRP ₹4999
29,Bragg Organic Apple Cider Vinegar With Mother 32Oz Bottle,MRP ₹1390,MRP ₹1390
